Country,Very happy,Quite happy,Not very happy,Not at all happy,NA,DK,(N),xpos,ypos
Argentina,28.8,52.8,14.9,2.4,0,1.1,02.19,80,100
Australia,42.8,51.5,4.4,1,0,0.3,02.48,80,100
Chile,27,52.7,19.2,0.7,0,0.4,1,80,100
China,22.7,60.9,14.1,1.7,0,0.6,1.5,80,100
Taiwan,29.7,60.9,7.3,1.5,0.3,0.3,780,80,100
India,29.9,46,19.8,2.8,0,1.5,02.04,80,100
Japan,32.5,56.5,8.9,0.6,0,1.4,01.54,80,100
South Korea,11.9,76.9,10.1,1,0,0.1,05.09,80,100
Mexico,31.5,38.1,26.3,2.6,0,1.5,01.51,80,100
Moldova,3.6,39.8,47.7,7.8,0,1.1,984,80,100
New Zealand,32.8,61.5,4.3,0.6,0.7,0.1,04.21,80,100
Nigeria,46.2,38.1,12.4,2.9,0.4,0.1,17.36,80,100
Pakistan,27.9,51.2,16.9,4,0,0,733,80,100
Peru,28.2,34.7,35.1,1.2,0,0.8,04.31,80,100
Philippines,40.2,52.2,6.3,1.1,0,0.1,1.2,80,100
Poland,18.3,67,11.5,2.5,0,0.7,03.33,80,100
Romania,5.1,51,35.2,7.1,0,1.6,04.59,80,100
Russia,6.1,44.1,40.3,7.6,0,1.9,02.04,80,100
Slovenia,13.4,60.4,22.5,2.8,0,0.9,01.07,80,100
South Africa,35.3,37.1,21.7,5.6,0,0.3,17.35,80,100
Spain,18.7,67.8,12.2,0.9,0,0.3,04.31,80,100
Sweden,39.2,54.7,4.1,0.8,0,1.2,01.09,80,100
Turkey,51,37.3,9.4,2.1,0,0.1,16.07,80,100
Ukraine,4.9,40.9,40.9,8.4,0,4.8,15.31,80,100
United States,46.3,47.5,5.3,0.5,0,0.4,10.02,80,100
Uruguay,20.6,58.8,17.6,2.4,0,0.6,1,80,100
Serbia,13.9,56,24.5,4.5,0,1.1,01.28,80,100